,market_hash_name,avg_index_share,std_index_share,quantity
141,Krakow 2017 Legends Autograph Capsule,0.0016552927100523746,0.00024818598452812075,332
142,Little Kev | The Professionals,0.000259783453508558,2.7711877421107754e-05,331
143,M4A1-S | Atomic Alloy (Field-Tested),0.001264546542618303,5.578860253336759e-05,397
144,M4A1-S | Atomic Alloy (Minimal Wear),0.00148650592624418,4.669163980823492e-05,353
145,M4A1-S | Atomic Alloy (Well-Worn),0.0002867279134492347,1.977334968422619e-05,103
146,M4A1-S | Blue Phosphor (Factory New),0.004775574087168334,0.0005408341389505618,162
147,M4A1-S | Bright Water (Field-Tested),0.0008111747915813449,0.00010018793172659583,282
148,M4A1-S | Bright Water (Minimal Wear),0.001574011128096261,0.00022531221476162735,512
149,M4A1-S | Chantico's Fire (Field-Tested),0.0007741267934219238,0.00011866069118037943,301
150,M4A1-S | Chantico's Fire (Minimal Wear),0.0015993947211971902,0.00022478709279333476,359
151,M4A1-S | Chantico's Fire (Well-Worn),0.0005062340508275739,6.514771308342223e-05,269
152,M4A1-S | Control Panel (Field-Tested),0.00014101479846382678,2.2168993902255743e-05,100
153,M4A1-S | Cyrex (Factory New),0.0016751879747694237,0.00022289901333369662,549
154,M4A1-S | Cyrex (Field-Tested),0.0007786637349827982,0.0001004484009180765,476
155,M4A1-S | Cyrex (Minimal Wear),0.0014515374805018902,0.00020185823281233407,651
156,M4A1-S | Dark Water (Field-Tested),0.001092952229338319,9.753487306432292e-05,170
157,M4A1-S | Dark Water (Minimal Wear),0.0020704700144157768,0.00019586367543726006,303
158,M4A1-S | Decimator (Factory New),0.0007488530848798997,0.00014579686248873238,329
159,M4A1-S | Golden Coil (Battle-Scarred),0.0003421673040694792,3.76318137242655e-05,128
160,M4A1-S | Golden Coil (Factory New),0.0018344930966260864,0.0002303032600102209,137
161,M4A1-S | Golden Coil (Field-Tested),0.0012789806440957105,0.0001943100355479471,267
162,M4A1-S | Golden Coil (Minimal Wear),0.0012468338577700743,0.00017100343247533208,162
163,M4A1-S | Golden Coil (Well-Worn),0.000606883243394131,8.514065656396798e-05,174
164,M4A1-S | Guardian (Factory New),0.0013553443547171522,0.00019799830720702686,394
165,M4A1-S | Guardian (Field-Tested),0.0008495787127263199,0.00010902593799827864,370
166,M4A1-S | Guardian (Minimal Wear),0.0014941936970001711,0.000211514749304089,552
167,M4A1-S | Hot Rod (Factory New),0.010691040656655496,0.0010594307906453314,174
168,M4A1-S | Hyper Beast (Factory New),0.001487616426585622,0.00016459443572979337,127
169,M4A1-S | Hyper Beast (Field-Tested),0.0006138939977354165,7.333350496358729e-05,417
170,M4A1-S | Hyper Beast (Minimal Wear),0.0008666971580888512,0.00014498098990858177,188
171,M4A1-S | Icarus Fell (Factory New),0.006642457543142449,0.0006039365980670139,146
172,M4A1-S | Mecha Industries (Factory New),0.001122240716843772,0.00014082134131712722,173
173,M4A1-S | Mecha Industries (Field-Tested),0.0008972573515816683,0.0001304860825801354,356
174,M4A1-S | Mecha Industries (Minimal Wear),0.0014626499873412312,0.00021288258816589103,367
175,M4A1-S | Moss Quartz (Factory New),0.00022426680974235548,1.2251382096614084e-05,152
176,M4A1-S | Nightmare (Factory New),0.000940558630195597,0.00012099050578703403,238
177,M4A1-S | Nightmare (Minimal Wear),0.0006209336737835266,0.00010202087376536542,310
178,M4A1-S | Player Two (Factory New),0.0010315787352899678,0.00011936938863777898,101
179,M4A1-S | Player Two (Field-Tested),0.0018398091099500959,0.0002649666443689232,685
180,M4A1-S | Player Two (Minimal Wear),0.001733484147122293,0.00022098714270029566,319
181,M4A1-S | Printstream (Battle-Scarred),0.0019644854813365394,0.00016745261338446443,218
182,M4A1-S | Printstream (Field-Tested),0.013275972992661755,0.0013584489459475982,947
183,M4A1-S | Printstream (Minimal Wear),0.0026952066077321393,0.0003322792155509707,119
184,M4A4 | Asiimov (Battle-Scarred),0.0010967819353884089,0.00015254725525724763,230
185,M4A4 | Asiimov (Field-Tested),0.005116122000280348,0.0008918307762716824,304
186,M4A4 | Asiimov (Well-Worn),0.0011807328653753583,0.00020604247972952437,124
187,M4A4 | Bullet Rain (Minimal Wear),0.00032494340495940266,9.803176057233116e-05,193
188,M4A4 | Buzz Kill (Factory New),0.0006507908342408167,0.00019699856581808654,189
189,M4A4 | Buzz Kill (Field-Tested),0.00037409929273440743,8.231441785219058e-05,458
190,M4A4 | Buzz Kill (Minimal Wear),0.00035311999987441367,9.06290484209745e-05,265
191,M4A4 | Cyber Security (Factory New),0.0005949676942583119,0.00011907310941203728,134
192,M4A4 | Cyber Security (Field-Tested),0.0004757265524898338,3.444421991927765e-05,345
193,M4A4 | Cyber Security (Well-Worn),0.0001290528303988332,1.279894208566248e-05,109
194,M4A4 | Dark Blossom (Factory New),0.0002317649804011477,2.1992243746131767e-05,189
195,M4A4 | Desolate Space (Factory New),0.0006270887511739883,0.00010051464294903869,257
196,M4A4 | Global Offensive (Factory New),0.00013086759080978345,1.2942741721822246e-05,234
197,M4A4 | Hellfire (Factory New),0.0008314313193670151,0.00017647100754110344,118
198,M4A4 | Hellfire (Field-Tested),0.0004920648872706654,2.6443388229885632e-05,123
199,M4A4 | In Living Color (Factory New),0.0006900235164614149,0.00011455064941205608,138
200,M4A4 | In Living Color (Minimal Wear),0.0003328530897081107,6.0061864985911964e-05,202
201,M4A4 | Neo-Noir (Factory New),0.0010673122529333246,0.0001361713572921016,251
202,M4A4 | Neo-Noir (Minimal Wear),0.0005077407867249873,8.15024069385157e-05,387
203,M4A4 | Radiation Hazard (Field-Tested),0.0003782439547180045,3.980412819782843e-05,245
204,M4A4 | Red DDPAT (Factory New),0.00035736222402067794,4.20907790281521e-05,114
205,M4A4 | Royal Paladin (Minimal Wear),0.0003726275901560292,8.19379015276259e-05,175
206,M4A4 | Spider Lily (Factory New),0.00019298089289459898,5.459857527959297e-05,185
207,M4A4 | The Battlestar (Factory New),0.00013797957678237928,3.5878143808769103e-05,123
208,M4A4 | The Coalition (Field-Tested),0.00046462111705433933,0.00022086364319622926,177
209,M4A4 | The Coalition (Minimal Wear),0.0010253766507745884,0.0003857747978758331,134
210,M4A4 | The Coalition (Well-Worn),0.00015182426745735192,5.3142242378064024e-05,152
211,M4A4 | The Emperor (Battle-Scarred),0.00014911265504168904,1.9266324879969198e-05,168
212,M4A4 | The Emperor (Field-Tested),0.0006596872733467363,0.00012503333761965875,484
213,M4A4 | The Emperor (Minimal Wear),0.0009542215230503004,0.00021389023167595888,202
214,M4A4 | The Emperor (Well-Worn),0.0001332516405935215,2.299472396147297e-05,111
215,M4A4 | X-Ray (Factory New),0.0012727107927243534,0.00035723669354096026,683
216,M4A4 | X-Ray (Field-Tested),0.00017522641361520627,3.0644083867508824e-05,155
217,M4A4 | X-Ray (Minimal Wear),0.0003181808659618807,6.063467614092022e-05,266
218,M4A4 | Zirka (Field-Tested),0.0005208575765993347,3.670603468376767e-05,219
219,M4A4 | Zirka (Minimal Wear),0.0008064028927485436,3.884517229064416e-05,316
220,M4A4 | 龍王 (Dragon King) (Factory New),0.0007321263201694228,0.00012196868984275126,272
221,M4A4 | 龍王 (Dragon King) (Minimal Wear),0.00038653237042687936,7.2244065254559e-05,321
222,MAC-10 | Case Hardened (Field-Tested),0.00032936708774577143,3.399971301555799e-05,119
223,MAC-10 | Disco Tech (Factory New),0.00024743756808250983,1.2243965230423688e-05,170
224,MAC-10 | Fade (Factory New),0.0005881059723896625,2.675621161470475e-05,311
225,MAC-10 | Propaganda (Factory New),0.00022474023978567837,5.7084790255982585e-05,126
226,MAC-10 | Propaganda (Field-Tested),0.0001116200552352454,1.1253313378000167e-05,200
227,MAC-10 | Propaganda (Minimal Wear),0.00010925811347064869,2.3466182726195264e-05,111
228,MLG Columbus 2016 Challengers (Holo-Foil),0.00036123653130048887,2.1000117014535017e-05,190
229,MLG Columbus 2016 Legends (Holo-Foil),0.00035006569320739593,2.2160496615351223e-05,177
230,MP7 | Fade (Factory New),0.00025846035820840414,1.3631773810902313e-05,255
231,MP9 | Hot Rod (Factory New),0.0008920349726701646,3.641700723588909e-05,264
232,MP9 | Music Box (Factory New),7.067512216491227e-05,6.446368569108828e-06,123
233,MP9 | Starlight Protector (Factory New),0.0005028798601547752,5.251882043089944e-05,124
234,MP9 | Starlight Protector (Minimal Wear),0.00036365709598558133,4.238705085648634e-05,195
235,"Music Kit | Knock2, dashstar*",0.00020532668121003812,1.1285823680083378e-05,107
236,Nova | Hyper Beast (Factory New),0.0002839486315477749,4.093786765997444e-05,121
237,Nova | Hyper Beast (Minimal Wear),0.0002019895675441427,1.7830494657952583e-05,138
238,Number K | The Professionals,0.0011209799904490494,0.00015652336668667938,499
239,Operation Bloodhound Access Pass,0.0006983186292601684,6.120344912206808e-05,161
240,Operation Bravo Case,0.0018454409727102486,0.00015781801770291964,421
241,Operation Hydra Case,0.0015830784280040531,7.22700639075746e-05,1018
242,P2000 | Silver (Factory New),0.00011180491385619757,2.6294709781414862e-05,191
243,P250 | Asiimov (Minimal Wear),0.0002542422514393335,9.774563782408636e-06,151
244,P250 | Crimson Kimono (Factory New),0.00032371692091262826,2.742733498215785e-05,158
245,P250 | Mehndi (Minimal Wear),0.00027492236496994666,3.0473025177413944e-05,173
246,P250 | Nuclear Threat (Field-Tested),0.00011929876560350114,9.699650713814707e-06,102
247,P250 | Splash (Minimal Wear),0.00043751688593585695,4.186630465271198e-05,256
248,P250 | Undertow (Factory New),0.0014273623327039787,8.454751015527847e-05,251
249,P250 | Visions (Factory New),0.0002022503755913676,3.634124263261276e-05,111
250,P250 | Visions (Minimal Wear),0.00032366651635653144,6.479461475330268e-05,283
251,P250 | Whiteout (Minimal Wear),0.0003791523477736531,2.3572153614819023e-05,220
252,P90 | Cold Blooded (Factory New),0.0011658388195901997,7.56743028964102e-05,193
253,Primeiro Tenente | Brazilian 1st Battalion,0.00021061717333548365,2.791387483886079e-05,333
254,R8 Revolver | Fade (Factory New),0.00022505654762138875,1.1504487489694569e-05,175
255,SG 553 | Cyrex (Factory New),0.00017866191682510793,7.83415428676244e-06,122
256,SG 553 | Hypnotic (Factory New),0.000698229431258351,3.9792012526629596e-05,233
257,SG 553 | Integrale (Minimal Wear),0.0008081842847974462,3.332432406002626e-05,127
258,SG 553 | Ultraviolet (Minimal Wear),0.00023409018711710458,2.098594137238161e-05,146
259,SSG 08 | Blood in the Water (Minimal Wear),0.0007880061995116046,2.436048736737191e-05,210
260,SSG 08 | Detour (Factory New),0.00013443067841938856,8.032689240915096e-06,117
261,SSG 08 | Dragonfire (Factory New),0.0010013419386120878,3.4299221535252374e-05,464
262,SSG 08 | Turbo Peek (Factory New),0.0001457686290530356,9.40687436143697e-06,138
263,Safecracker Voltzmann | The Professionals,0.00041755607674789485,3.350906410610034e-05,565
264,Sir Bloody Darryl Royale | The Professionals,0.00042976976512276553,4.2579639876563045e-05,310
265,Sir Bloody Loudmouth Darryl | The Professionals,0.0008934847381126251,9.954452337526432e-05,446
266,Sir Bloody Miami Darryl | The Professionals,0.001592514745580837,0.0001575427797488629,439
267,Sir Bloody Silent Darryl | The Professionals,0.0005007165411238623,4.4358472392657236e-05,480
268,Sir Bloody Skullhead Darryl | The Professionals,0.0004948343790881732,4.8623013478709236e-05,382
269,Souvenir AK-47 | Green Laminate (Field-Tested),0.00011150673310898384,8.114318597691322e-06,101
270,Souvenir AUG | Carved Jade (Factory New),4.716345405035107e-05,2.9096228480545425e-06,105
271,Souvenir AWP | Pink DDPAT (Field-Tested),0.0002932915705985746,2.6611456530320132e-05,103
272,Souvenir Desert Eagle | Fennec Fox (Field-Tested),0.0026850169557783676,8.777487635824861e-05,147
273,Souvenir MAC-10 | Amber Fade (Factory New),0.00019752419315388061,8.058618294334747e-06,119
274,Souvenir MP9 | Hot Rod (Factory New),0.00045106928761525514,1.9254410892996398e-05,108
275,Souvenir SSG 08 | Detour (Factory New),0.0002506314385328731,2.1349296746258566e-05,205
276,Souvenir UMP-45 | Blaze (Factory New),0.0003522367652534439,1.5227677466941715e-05,133
277,Souvenir USP-S | Purple DDPAT (Factory New),0.00010498699810212039,5.37516135385565e-06,161
278,Souvenir USP-S | Royal Blue (Minimal Wear),0.00042329027162893153,2.7729327138735235e-05,105
279,Special Agent Ava | FBI,0.0010929340872168293,6.016598865648467e-05,1156
280,StatTrak™ AK-47 | Asiimov (Field-Tested),0.0016739917680981466,5.1325559410041416e-05,285
281,StatTrak™ AK-47 | Asiimov (Minimal Wear),0.0019367910991584009,5.284527543513026e-05,183
282,StatTrak™ AK-47 | Blue Laminate (Factory New),0.0006784947085294623,2.961419260921301e-05,256
283,StatTrak™ AK-47 | Blue Laminate (Field-Tested),0.000755411314801248,2.6022779912835068e-05,415
284,StatTrak™ AK-47 | Blue Laminate (Minimal Wear),0.0006587731749031216,2.5209557814177683e-05,342
285,StatTrak™ AK-47 | Cartel (Field-Tested),0.00045943374553923324,1.9861705633394538e-05,231
286,StatTrak™ AK-47 | Elite Build (Factory New),0.0004948579432530044,2.2805303646723267e-05,240
287,StatTrak™ AK-47 | Frontside Misty (Field-Tested),0.00046381257177333286,1.696000407161357e-05,151
288,StatTrak™ AK-47 | Frontside Misty (Minimal Wear),0.0007271467484693119,3.298364695844084e-05,143
289,StatTrak™ AK-47 | Fuel Injector (Minimal Wear),0.005271553750136956,0.0001454232405597575,133
290,StatTrak™ AK-47 | Ice Coaled (Field-Tested),0.0010939815485687344,0.00023758245636498445,315
291,StatTrak™ AK-47 | Legion of Anubis (Factory New),0.001208564110119476,9.672561310642615e-05,164
292,StatTrak™ AK-47 | Legion of Anubis (Field-Tested),0.0003163118714558525,1.9206983315561224e-05,120
293,StatTrak™ AK-47 | Legion of Anubis (Minimal Wear),0.0005807104892427238,3.437944925195862e-05,145
294,StatTrak™ AK-47 | Neon Revolution (Field-Tested),0.00044251217607608367,1.9641009237941894e-05,126
295,StatTrak™ AK-47 | Nightwish (Battle-Scarred),0.0002988241478845978,4.691947800015816e-05,110
296,StatTrak™ AK-47 | Orbit Mk01 (Field-Tested),0.00029421600467902147,1.670436463093969e-05,114
297,StatTrak™ AK-47 | Phantom Disruptor (Factory New),0.0007530375355717199,4.202782472707869e-05,224
