,id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
0,17976,4896,Planet,GAMMA,planet-gamma,1,2022-02-09T10:35:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0xb3cb6d2f8f2fde203a022201c81a96c167607f15
0,17978,7047,PayBolt,PAY,paybolt,1,2022-02-09T08:42:00.000Z,2023-06-26T12:27:00.000Z,,1027.0,Ethereum,ETH,ethereum,0xe580074A10360404AF3ABfe2d524D5806D993ea3
0,17979,8606,HedgePay,HPAY,hedgepay,1,2022-02-09T08:45:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0xc75aa1fa199eac5adabc832ea4522cff6dfd521a
0,17984,9457,Healthify,HTF,healthify,1,2022-02-10T07:20:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0x1a8B6E637aAB57c8544DC90BD813c62fAA68AA1C
0,17987,6534,OSK,OSK,osk,1,2022-02-09T10:29:00.000Z,2023-06-26T12:29:00.000Z,,1958.0,TRON,TRX,tron,TDk91SWz2GvwfZwMTGX21d4ngUUH8YZZAv
0,17994,8368,pFTM,PFTM,pftm,1,2022-02-09T14:20:00.000Z,2023-06-26T12:25:00.000Z,,3513.0,Fantom,FTM,fantom,0x112df7e3b4b7ab424f07319d4e92f41e6608c48b
0,17995,4016,AssangeDAO,JUSTICE,assangedao,1,2022-02-09T14:56:00.000Z,2023-06-26T12:26:00.000Z,,1027.0,Ethereum,ETH,ethereum,0x59d1e836F7b7210A978b25a855085cc46fd090B5
0,18001,9458,Rabet,RBT,rabet,1,2022-02-10T03:05:00.000Z,2023-06-26T12:25:00.000Z,,512.0,Stellar,XLM,stellar,GCMSCRWZ3QBOI6AF75B5ZWDBXOSMIRW4FSBZH5OI65Y4H4GVH7LPSOYS
0,18005,3449,KingdomX,KT,kingdomx,1,2022-02-10T04:59:00.000Z,2023-06-26T12:29:00.000Z,,1839.0,BNB,BNB,bnb,0x52da44b5e584f730005dac8d2d2acbdee44d4ba3
0,18006,5840,FUTURECOIN,FUTURE,futurecoin,1,2022-02-10T05:24:00.000Z,2023-06-26T12:29:00.000Z,,1839.0,BNB,BNB,bnb,0x9FBff386a9405b4C98329824418ec02b5C20976b
